filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 02 m-35.csv,Mito 11,12,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.35,1025.76,797.09,66955.42,76.38,NA,NA,NA,NA,NA,53.76,52.91,2.07,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 02 m-35.csv,Mito 17,18,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.53,7456.18,779.07,2309160.5,451.58,NA,NA,NA,NA,NA,54.43,55.6,2.53,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 02 m-50.csv,ROIs 1,1,228.52,456,1235,612.44,118000000,51.78,222,1367,393.22,75466989,110.59,294.23,8227.71,605.46,116000000,157.49,11.61,19355.47,414.1,79473032,659.39,NA,NA,NA,GTY030 I 25C,ROIs,Object,1,NA
GTY030 I 25C 02 m-50.csv,Mito 12,13,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435.16,7456.18,774.18,3048723.25,422.21,NA,NA,NA,NA,NA,54.38,55.53,2.46,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-25.csv,ROIs 1,1,165.36,460,778,600.07,83333077,40.35,239,1871,434.24,60304507,142.72,342.6,1409.8,600.65,83414168,87.89,22.61,24185.05,466.27,64752212,873.32,NA,NA,NA,GTY030 I 25C,ROIs,Object,3,NA
GTY030 I 25C 03 m-25.csv,Mito 3,4,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,668.65,847.18,757.41,164358.91,36.19,NA,NA,NA,NA,NA,52.04,40.75,1.38,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-25.csv,Mito 6,7,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,616.5,842.55,737.8,74518.04,40.21,NA,NA,NA,NA,NA,51.18,39.37,0.897,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-25.csv,Mito 19,20,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.77,1208.35,711.13,1448561.63,121.54,NA,NA,NA,NA,NA,50.82,40.53,3.01,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-35.csv,ROIs 1,1,165.36,460,778,600.07,83333077,40.35,239,1871,434.24,60304507,142.72,342.6,1409.8,600.65,83414168,87.89,22.61,24185.05,466.27,64752212,873.32,NA,NA,NA,GTY030 I 25C,ROIs,Object,2,NA
GTY030 I 25C 03 m-35.csv,Mito 3,4,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663.9,849.63,757.97,208443.08,37.55,NA,NA,NA,NA,NA,52.05,40.76,1.36,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-35.csv,Mito 19,20,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.24,1208.35,710.2,1725064.75,118.84,NA,NA,NA,NA,NA,50.86,40.49,2.88,GTY030 I 25C,Mito,Object,NA,1
GTY030 I 25C 03 m-50.csv,ROIs 1,1,165.36,460,778,600.07,83333077,40.35,239,1871,434.24,60304507,142.72,342.6,1409.8,600.65,83414168,87.89,22.61,24185.05,466.27,64752212,873.32,NA,NA,NA,GTY030 I 25C,ROIs,Object,1,NA
GTY030 I 25C 03 m-50.csv,Mito 15,16,4.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400.24,1208.35,712.39,2468418.25,116.66,NA,NA,NA,NA,NA,51.02,40.52,2.7,GTY030 I 25C,Mito,Object,NA,1
