filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID
GTY030 I 25C 13 01 m-50.csv,Mito 5,6,0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.27,1065.65,754.39,135036.69,172.34,NA,NA,NA,NA,NA,20.34,5.83,2.02,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 01 m-50.csv,Mito 13,14,0.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483.57,993.33,656.71,443933.84,82.98,NA,NA,NA,NA,NA,15.52,2.47,2.61,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 01 m-50.csv,Mito 14,15,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278.31,32690.71,1228.27,3519003.5,2240.06,NA,NA,NA,NA,NA,17.49,4.75,2.49,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 01 m-50.csv,Mito 15,16,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.5,1097.38,684.66,588127.19,112.11,NA,NA,NA,NA,NA,14.06,5.36,2.43,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-25.csv,ROIs 1,1,250.35,433,3382,615.15,129000000,106.57,225,1918,428.63,90120409,131.18,84.54,54980.79,615.33,129000000,595.89,1e-6,24838.26,456.06,95888488,791.45,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,3,NA
GTY030 I 25C 13 02 m-25.csv,Mito 4,5,3.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.29,31593.21,1040.76,2785083,1567.29,NA,NA,NA,NA,NA,22.9,47.78,2.22,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-25.csv,Mito 7,8,0.345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.87,925.23,717.01,207933.97,77.92,NA,NA,NA,NA,NA,27.19,48.23,1.75,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-25.csv,Mito 24,25,0.0881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.74,822.81,610.13,45149.99,86.11,NA,NA,NA,NA,NA,24.05,47.91,2.98,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-35.csv,ROIs 1,1,250.35,433,3382,615.15,129000000,106.57,225,1918,428.63,90120409,131.18,84.54,54980.79,615.33,129000000,595.89,1e-6,24838.26,456.06,95888488,791.45,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,3,NA
GTY030 I 25C 13 02 m-35.csv,Mito 4,5,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,348.29,31593.21,1041.63,3190513.75,1605.54,NA,NA,NA,NA,NA,22.87,47.79,2.22,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-35.csv,Mito 7,8,0.392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.87,925.23,713.95,234890.83,79.13,NA,NA,NA,NA,NA,27.19,48.23,1.76,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-35.csv,Mito 22,23,0.0988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444.74,822.81,610.31,50656.09,86.9,NA,NA,NA,NA,NA,24.04,47.91,2.98,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-50.csv,ROIs 1,1,250.35,433,3382,615.15,129000000,106.57,225,1918,428.63,90120409,131.18,84.54,54980.79,615.33,129000000,595.89,1e-6,24838.26,456.06,95888488,791.45,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,2,NA
GTY030 I 25C 13 02 m-50.csv,Mito 4,5,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346.11,35897.46,997.96,4279255.5,1576.94,NA,NA,NA,NA,NA,23.3,47.84,2.18,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 02 m-50.csv,Mito 19,20,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.79,873.81,610.63,63505.8,97.83,NA,NA,NA,NA,NA,24.05,47.91,2.99,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-25.csv,ROIs 1,1,222.92,427,1360,595.44,111000000,55.81,225,2032,430.81,80655023,130.82,266.6,11339.1,586.67,110000000,190.14,1.12,30572.06,451.12,84455920,813.55,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,4,NA
GTY030 I 25C 13 03 m-25.csv,Mito 2,3,0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.64,1034.03,727.46,163679.55,101.42,NA,NA,NA,NA,NA,31.38,45.09,1.63,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-25.csv,Mito 10,11,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.16,992.44,771,205086.02,100.42,NA,NA,NA,NA,NA,29.42,41.8,1.92,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-25.csv,Mito 11,12,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.2,1165.55,750.25,594948.06,109.05,NA,NA,NA,NA,NA,29.74,43.71,1.85,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-25.csv,Mito 21,22,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.28,6557.58,765.14,1094914.75,432.88,NA,NA,NA,NA,NA,33.52,43.25,2.44,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-35.csv,ROIs 1,1,222.92,427,1360,595.44,111000000,55.81,225,2032,430.81,80655023,130.82,266.6,11339.1,586.67,110000000,190.14,1.12,30572.06,451.12,84455920,813.55,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,4,NA
GTY030 I 25C 13 03 m-35.csv,Mito 2,3,0.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.64,1034.03,725.69,185050,99.62,NA,NA,NA,NA,NA,31.39,45.09,1.62,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-35.csv,Mito 10,11,0.369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,467.16,992.44,761.9,236190.14,104.09,NA,NA,NA,NA,NA,29.43,41.81,1.94,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-35.csv,Mito 11,12,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.2,1165.55,744.46,694584,109.84,NA,NA,NA,NA,NA,29.75,43.71,1.85,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-35.csv,Mito 21,22,1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.28,6557.58,759.76,1242207.5,413.7,NA,NA,NA,NA,NA,33.51,43.25,2.44,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-50.csv,ROIs 1,1,222.92,427,1360,595.44,111000000,55.81,225,2032,430.81,80655023,130.82,266.6,11339.1,586.67,110000000,190.14,1.12,30572.06,451.12,84455920,813.55,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,4,NA
GTY030 I 25C 13 03 m-50.csv,Mito 2,3,0.383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514.37,1034.03,726.55,233948.91,96.3,NA,NA,NA,NA,NA,31.39,45.08,1.63,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-50.csv,Mito 9,10,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440.5,992.44,746.12,309638,113.77,NA,NA,NA,NA,NA,29.46,41.81,2.01,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-50.csv,Mito 10,11,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.2,1165.55,737.79,872064.88,109.92,NA,NA,NA,NA,NA,29.77,43.7,1.84,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 03 m-50.csv,Mito 18,19,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.31,6557.58,760.9,1583429.5,407.62,NA,NA,NA,NA,NA,33.51,43.26,2.43,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,ROIs 1,1,299.13,441,831,589.43,148000000,46.2,221,2246,451.68,113000000,152.65,256.06,2983.09,581.1,146000000,117.49,1e-6,28580.93,472.4,119000000,922.26,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,6,NA
GTY030 I 25C 13 04 m-25.csv,Mito 3,4,0.0845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.31,1271.11,846.75,60119.47,155.2,NA,NA,NA,NA,NA,32.3,38.97,1.84,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,Mito 9,10,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.06,1295.83,890.26,191405.56,148.92,NA,NA,NA,NA,NA,29.17,36.74,1.92,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,Mito 15,16,0.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.33,1314.38,726.56,403240.47,178.46,NA,NA,NA,NA,NA,30.22,35.8,2.96,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,Mito 19,20,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.97,1482.62,728.68,1446426.25,157.9,NA,NA,NA,NA,NA,35.71,39.24,2.59,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,Mito 20,21,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.02,1381.98,703.58,605079.94,144,NA,NA,NA,NA,NA,32.02,37.2,3.01,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-25.csv,Mito 23,24,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404.36,2983.09,769,375273.19,315.15,NA,NA,NA,NA,NA,30.12,38.73,2.9,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-35.csv,ROIs 1,1,299.13,441,831,589.43,148000000,46.2,221,2246,451.68,113000000,152.65,256.06,2983.09,581.1,146000000,117.49,1e-6,28580.93,472.4,119000000,922.26,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,5,NA
GTY030 I 25C 13 04 m-35.csv,Mito 3,4,0.0893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576.31,1271.11,844.8,63359.98,158.9,NA,NA,NA,NA,NA,32.3,38.97,1.84,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-35.csv,Mito 9,10,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399.33,1314.38,766.02,686352.81,185.24,NA,NA,NA,NA,NA,29.93,36.07,2.68,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-35.csv,Mito 19,20,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.02,1381.98,702.64,691398.69,149.36,NA,NA,NA,NA,NA,32.03,37.23,3.01,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-35.csv,Mito 20,21,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.97,1482.62,725.4,1629240,157.26,NA,NA,NA,NA,NA,35.72,39.24,2.59,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-35.csv,Mito 23,24,0.692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.02,2983.09,761.78,442595.34,312.89,NA,NA,NA,NA,NA,30.12,38.72,2.91,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-50.csv,ROIs 1,1,299.13,441,831,589.43,148000000,46.2,221,2246,451.68,113000000,152.65,256.06,2983.09,581.1,146000000,117.49,1e-6,28580.93,472.4,119000000,922.26,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,5,NA
GTY030 I 25C 13 04 m-50.csv,Mito 3,4,0.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,539.91,1271.11,845.46,78627.87,160.6,NA,NA,NA,NA,NA,32.3,38.97,1.83,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-50.csv,Mito 8,9,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364.39,1314.38,744.19,860287.75,187.5,NA,NA,NA,NA,NA,29.92,36.07,2.72,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-50.csv,Mito 16,17,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.02,1381.98,689.67,870367.94,153.55,NA,NA,NA,NA,NA,32.04,37.25,3.04,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-50.csv,Mito 17,18,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369.97,1556.04,719.2,1969159.63,161.87,NA,NA,NA,NA,NA,35.7,39.23,2.6,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 04 m-50.csv,Mito 21,22,0.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.5,2983.09,754.34,540865.19,310.66,NA,NA,NA,NA,NA,30.13,38.71,2.93,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-25.csv,ROIs 1,1,220.84,437,1447,589.24,109000000,49.91,222,1996,392.9,72871203,125.12,263.45,15417.59,586.21,109000000,199.84,1e-6,25108.96,417.5,77433920,810.54,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,5,NA
GTY030 I 25C 13 05 m-25.csv,Mito 1,2,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.43,1015.72,750.56,284460.84,85.18,NA,NA,NA,NA,NA,71.99,26.41,1.5,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-25.csv,Mito 6,7,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.03,1357.08,748.28,210267.06,182.7,NA,NA,NA,NA,NA,74.28,27.36,2.28,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-25.csv,Mito 12,13,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.33,1330.65,702.64,879699.25,143.23,NA,NA,NA,NA,NA,70.4,25.02,2.74,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-25.csv,Mito 13,14,0.319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.63,1082.17,729.96,195628.78,102.64,NA,NA,NA,NA,NA,70.57,27.45,2.41,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-25.csv,Mito 14,15,0.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.88,966.15,722.13,68602.69,80.62,NA,NA,NA,NA,NA,75.81,27.14,2.6,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-35.csv,ROIs 1,1,220.84,437,1447,589.24,109000000,49.91,222,1996,392.9,72871203,125.12,263.45,15417.59,586.21,109000000,199.84,1e-6,25108.96,417.5,77433920,810.54,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,5,NA
GTY030 I 25C 13 05 m-35.csv,Mito 1,2,0.506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.43,1015.72,750.25,318856.44,86.24,NA,NA,NA,NA,NA,72,26.4,1.5,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-35.csv,Mito 6,7,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.03,1357.08,749.67,239144.11,179.64,NA,NA,NA,NA,NA,74.27,27.35,2.28,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-35.csv,Mito 12,13,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.33,1330.65,700.63,1001202.94,143.67,NA,NA,NA,NA,NA,70.4,25.03,2.73,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-35.csv,Mito 13,14,0.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.26,1082.17,728.76,228100.36,106.1,NA,NA,NA,NA,NA,70.57,27.46,2.41,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-35.csv,Mito 14,15,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.88,966.15,717.01,80305.33,82.79,NA,NA,NA,NA,NA,75.82,27.14,2.59,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-50.csv,ROIs 1,1,220.84,437,1447,589.24,109000000,49.91,222,1996,392.9,72871203,125.12,263.45,15417.59,586.21,109000000,199.84,1e-6,25108.96,417.5,77433920,810.54,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,4,NA
GTY030 I 25C 13 05 m-50.csv,Mito 1,2,0.595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.43,1015.72,745.73,372863.59,87.09,NA,NA,NA,NA,NA,72.01,26.4,1.51,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-50.csv,Mito 6,7,0.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.03,1357.08,740.97,293425.03,177.31,NA,NA,NA,NA,NA,74.26,27.35,2.29,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-50.csv,Mito 11,12,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.92,1330.65,696.91,1521355.38,139.08,NA,NA,NA,NA,NA,70.44,25.49,2.67,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 05 m-50.csv,Mito 12,13,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.77,996.42,704.11,107025.09,102.47,NA,NA,NA,NA,NA,75.8,27.15,2.63,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-25.csv,ROIs 1,1,262.05,433,1274,585.17,129000000,49,206,4095,435.9,95931850,359.98,235.11,12206.92,581.4,128000000,158.86,1e-6,33670.84,461.97,102000000,1196.29,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,2,NA
GTY030 I 25C 13 06 m-25.csv,Mito 8,9,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.37,2533.94,939.81,2853256.75,308.58,NA,NA,NA,NA,NA,63.91,10.77,2.37,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-25.csv,Mito 22,23,0.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.6,1220.29,625.06,55004.98,155.75,NA,NA,NA,NA,NA,64.22,12.34,3.29,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-35.csv,ROIs 1,1,262.05,433,1274,585.17,129000000,49,206,4095,435.9,95931850,359.98,235.11,12206.92,581.4,128000000,158.86,1e-6,33670.84,461.97,102000000,1196.29,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,2,NA
GTY030 I 25C 13 06 m-35.csv,Mito 8,9,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.25,2533.94,920.23,3067118.75,308.39,NA,NA,NA,NA,NA,63.92,10.77,2.4,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-35.csv,Mito 18,19,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.6,1220.29,619.32,62551.24,153.39,NA,NA,NA,NA,NA,64.22,12.33,3.29,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-50.csv,ROIs 1,1,262.05,433,1274,585.17,129000000,49,206,4095,435.9,95931850,359.98,235.11,12206.92,581.4,128000000,158.86,1e-6,33670.84,461.97,102000000,1196.29,NA,NA,NA,GTY030 I 25C 13,ROIs,Object,3,NA
GTY030 I 25C 13 06 m-50.csv,Mito 7,8,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,362.25,2533.94,885.59,3495442,306.05,NA,NA,NA,NA,NA,63.93,10.76,2.45,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-50.csv,Mito 20,21,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.6,1373.08,616.99,75272.91,163.76,NA,NA,NA,NA,NA,64.21,12.33,3.29,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 13 06 m-50.csv,Mito 22,23,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.01,767.59,592.61,65779.25,74.95,NA,NA,NA,NA,NA,63.93,10.99,4.86,GTY030 I 25C 13,Mito,Object,NA,1
GTY030 I 25C 14 01 m-25.csv,ROIs 1,1,413.15,417,4095,598.88,208000000,104.05,221,2218,422.41,147000000,161.03,0.707,69280.13,593.45,206000000,625.4,1e-6,21755.89,441.31,153000000,787.25,NA,NA,NA,GTY030 I 25C 14,ROIs,Object,5,NA
GTY030 I 25C 14 01 m-25.csv,Mito 2,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.74,1351.07,731.59,1537799.25,134.51,NA,NA,NA,NA,NA,13.21,9.76,2.25,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-25.csv,Mito 5,6,0.397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452.28,8594.33,853.52,284222.84,624.05,NA,NA,NA,NA,NA,17.67,8.94,2.42,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-25.csv,Mito 9,10,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472.77,1117.95,694.03,322032.13,113.88,NA,NA,NA,NA,NA,16.27,8.06,2.34,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-25.csv,Mito 10,11,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,19408.43,853,2343191.5,952.64,NA,NA,NA,NA,NA,19.69,11.4,2.37,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-25.csv,Mito 11,12,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.49,1214.5,714.25,112851.59,163.78,NA,NA,NA,NA,NA,14.14,10.77,2.92,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-35.csv,ROIs 1,1,413.15,417,4095,598.88,208000000,104.05,221,2218,422.41,147000000,161.03,0.707,69280.13,593.45,206000000,625.4,1e-6,21755.89,441.31,153000000,787.25,NA,NA,NA,GTY030 I 25C 14,ROIs,Object,5,NA
GTY030 I 25C 14 01 m-35.csv,Mito 1,2,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.74,1363.96,726.65,1745422.13,133.37,NA,NA,NA,NA,NA,13.21,9.74,2.24,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-35.csv,Mito 8,9,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.51,1117.95,694.81,389093.09,111.59,NA,NA,NA,NA,NA,16.27,8.07,2.33,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-35.csv,Mito 9,10,0.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.43,17863.62,887.09,346853.06,1041.27,NA,NA,NA,NA,NA,17.67,8.95,2.43,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-35.csv,Mito 10,11,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,19408.43,851.56,2700309,1008.18,NA,NA,NA,NA,NA,19.67,11.39,2.39,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-35.csv,Mito 11,12,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.49,1214.5,708.07,126037.04,167.46,NA,NA,NA,NA,NA,14.14,10.78,2.93,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-50.csv,ROIs 1,1,413.15,417,4095,598.88,208000000,104.05,221,2218,422.41,147000000,161.03,0.707,69280.13,593.45,206000000,625.4,1e-6,21755.89,441.31,153000000,787.25,NA,NA,NA,GTY030 I 25C 14,ROIs,Object,4,NA
GTY030 I 25C 14 01 m-50.csv,Mito 1,2,3.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.74,1363.96,717.28,2217829.5,133.82,NA,NA,NA,NA,NA,13.22,9.7,2.24,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-50.csv,Mito 8,9,0.837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436.77,1117.95,693.79,487731.22,111.61,NA,NA,NA,NA,NA,16.27,8.07,2.33,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-50.csv,Mito 9,10,0.256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396.49,1214.5,686.83,147668.8,169.12,NA,NA,NA,NA,NA,14.15,10.78,2.98,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 01 m-50.csv,Mito 12,13,5.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,61211.91,873.46,3879034,1628.4,NA,NA,NA,NA,NA,19.44,11.1,2.41,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 02 m-25.csv,ROIs 1,1,198.11,410,716,549.22,91381164,36.33,204,1731,364.93,60718770,131.45,282.65,1280.62,545.43,90749888,85.5,1e-6,18271.66,384.16,63917732,587.99,NA,NA,NA,GTY030 I 25C 14,ROIs,Object,3,NA
GTY030 I 25C 14 02 m-25.csv,Mito 1,2,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.85,1248.77,736.58,643774.5,137.12,NA,NA,NA,NA,NA,3.24,58.2,2.31,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 02 m-25.csv,Mito 4,5,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.58,1053,754.65,207528.72,103.63,NA,NA,NA,NA,NA,4.21,60.68,2.04,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 02 m-25.csv,Mito 8,9,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.31,1280.62,698.11,559182.13,149.48,NA,NA,NA,NA,NA,5.25,57.53,2.69,GTY030 I 25C 14,Mito,Object,NA,1
GTY030 I 25C 14 02 m-35.csv,ROIs 1,1,198.11,410,716,549.22,91381164,36.33,204,1731,364.93,60718770,131.45,282.65,1280.62,545.43,90749888,85.5,1e-6,18271.66,384.16,63917732,587.99,NA,NA,NA,GTY030 I 25C 14,ROIs,Object,3,NA
