filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Number of contained Mito,Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Compartment ROIs ID,ExtracellularBackground
PSY109 25C 01 m-50.csv,9,PSY109 25C,Mito 8,Mito,Object,590,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.94,960.8,716.25,422585.59,78.69,NA,3.8,8.3,1.56,1,534.67
PSY109 25C 01 m-50.csv,13,PSY109 25C,Mito 12,Mito,Object,345,0.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.04,1205.8,805.97,278061.22,147.1,NA,9.37,9.84,2.25,1,534.67
PSY109 25C 01 m-50.csv,14,PSY109 25C,Mito 13,Mito,Object,198,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.3,1405,846.74,167654.25,173.04,NA,5.57,10.05,1.97,1,534.67
PSY109 25C 01 m-50.csv,20,PSY109 25C,Mito 19,Mito,Object,879,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.4,4324.84,842.9,740910.44,325.72,NA,10.65,6.99,2.1,1,534.67
PSY109 25C 01 m-50.csv,21,PSY109 25C,Mito 20,Mito,Object,1929,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.39,1134.89,682.32,1316188.38,124.31,NA,8.74,8.1,3.65,1,534.67
PSY109 25C 01 m-50.csv,35,PSY109 25C,Mito 34,Mito,Object,741,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.6,1213.4,686.85,508952.22,153.03,NA,4.71,9.32,3.44,1,534.67
PSY109 25C 02 m-25.csv,1,PSY109 25C,ROIs 1,ROIs,Object,224385,267.18,218,1877,410.29,92062614,138.83,2.12,23529.15,434.77,97555240,793.63,298.09,10140.67,623.89,140000000,220.14,5,NA,NA,NA,NA,534.67
PSY109 25C 02 m-25.csv,9,PSY109 25C,Mito 8,Mito,Object,248,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.34,934.37,793.34,196749.06,71.45,NA,20.51,23.13,1.3,1,534.67
PSY109 25C 02 m-25.csv,17,PSY109 25C,Mito 16,Mito,Object,1278,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456.78,1671.23,811.25,1036778.25,201.68,NA,17.83,24.24,2.3,1,534.67
PSY109 25C 02 m-25.csv,21,PSY109 25C,Mito 20,Mito,Object,1718,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509.24,2333.89,874.7,1502742.75,212.91,NA,18.25,19.45,2.54,1,534.67
PSY109 25C 02 m-25.csv,29,PSY109 25C,Mito 28,Mito,Object,566,0.674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402.3,1621.98,861.76,487753.38,269.12,NA,21.12,24.08,2.83,1,534.67
PSY109 25C 02 m-25.csv,33,PSY109 25C,Mito 32,Mito,Object,417,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569.07,1403.4,919.66,383497.53,165,NA,18.19,22.12,3.4,1,534.67
PSY109 25C 02 m-35.csv,1,PSY109 25C,ROIs 1,ROIs,Object,224385,267.18,218,1877,410.29,92062614,138.83,2.12,23529.15,434.77,97555240,793.63,298.09,10140.67,623.89,140000000,220.14,5,NA,NA,NA,NA,534.67
PSY109 25C 02 m-35.csv,9,PSY109 25C,Mito 8,Mito,Object,294,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.89,934.37,786.48,231223.75,73.4,NA,20.51,23.13,1.32,1,534.67
PSY109 25C 02 m-35.csv,17,PSY109 25C,Mito 16,Mito,Object,1447,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.15,1671.23,806.55,1167080.88,200.12,NA,17.84,24.23,2.31,1,534.67
PSY109 25C 02 m-35.csv,20,PSY109 25C,Mito 19,Mito,Object,1945,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469.11,4299.15,870.04,1692236,238.24,NA,18.26,19.45,2.55,1,534.67
PSY109 25C 02 m-35.csv,25,PSY109 25C,Mito 24,Mito,Object,618,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.37,1621.98,853.07,527198.31,269.16,NA,21.12,24.08,2.82,1,534.67
PSY109 25C 02 m-35.csv,29,PSY109 25C,Mito 28,Mito,Object,475,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.82,1403.4,905.43,430077.69,170.44,NA,18.19,22.13,3.41,1,534.67
PSY109 25C 02 m-50.csv,1,PSY109 25C,ROIs 1,ROIs,Object,224385,267.18,218,1877,410.29,92062614,138.83,2.12,23529.15,434.77,97555240,793.63,298.09,10140.67,623.89,140000000,220.14,5,NA,NA,NA,NA,534.67
PSY109 25C 02 m-50.csv,5,PSY109 25C,Mito 4,Mito,Object,367,0.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.4,934.37,774.64,284292.22,83.11,NA,20.51,23.13,1.35,1,534.67
PSY109 25C 02 m-50.csv,15,PSY109 25C,Mito 14,Mito,Object,1746,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,430.15,1671.23,799.18,1395360.38,197.69,NA,17.83,24.22,2.31,1,534.67
PSY109 25C 02 m-50.csv,18,PSY109 25C,Mito 17,Mito,Object,2495,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.86,4299.15,859.94,2145559.25,248.97,NA,18.27,19.44,2.57,1,534.67
PSY109 25C 02 m-50.csv,25,PSY109 25C,Mito 24,Mito,Object,737,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.37,1621.98,835.13,615490.63,266.33,NA,21.12,24.1,2.82,1,534.67
PSY109 25C 02 m-50.csv,27,PSY109 25C,Mito 26,Mito,Object,609,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474.8,1736.23,878.06,534737.5,184.06,NA,18.2,22.15,3.43,1,534.67
PSY109 25C 03 m-25.csv,1,PSY109 25C,ROIs 1,ROIs,Object,244293,290.88,220,1956,392.82,95963048,132.97,23.5,26088.34,409.01,99918320,756.61,273.39,15504.59,628.67,154000000,259.66,6,NA,NA,NA,NA,534.67
PSY109 25C 03 m-25.csv,6,PSY109 25C,Mito 5,Mito,Object,240,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.13,1123.13,830.32,199276.72,89.48,NA,32.96,30.66,1.35,1,534.67
PSY109 25C 03 m-25.csv,22,PSY109 25C,Mito 21,Mito,Object,618,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.65,1700.86,892.86,551790.38,214.13,NA,32.27,33.68,2.35,1,534.67
PSY109 25C 03 m-25.csv,30,PSY109 25C,Mito 29,Mito,Object,1563,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.25,3596.18,875.26,1368024.88,184.45,NA,35.71,29.76,2.79,1,534.67
PSY109 25C 03 m-25.csv,34,PSY109 25C,Mito 33,Mito,Object,592,0.705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.14,1555.73,736.44,435971.25,201.17,NA,31.47,30.12,3.66,1,534.67
PSY109 25C 03 m-25.csv,35,PSY109 25C,Mito 34,Mito,Object,318,0.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.93,1331.75,739.63,235201.27,188.43,NA,30.48,32.66,3.33,1,534.67
PSY109 25C 03 m-25.csv,42,PSY109 25C,Mito 41,Mito,Object,553,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.47,1287.29,784.15,433633.59,157.9,NA,33.72,30.78,3.25,1,534.67
PSY109 25C 03 m-35.csv,1,PSY109 25C,ROIs 1,ROIs,Object,244293,290.88,220,1956,392.82,95963048,132.97,23.5,26088.34,409.01,99918320,756.61,273.39,15504.59,628.67,154000000,259.66,6,NA,NA,NA,NA,534.67
PSY109 25C 03 m-35.csv,5,PSY109 25C,Mito 4,Mito,Object,273,0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.13,1123.13,823.27,224753.59,89.79,NA,32.95,30.66,1.37,1,534.67
PSY109 25C 03 m-35.csv,21,PSY109 25C,Mito 20,Mito,Object,688,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531.65,1700.86,885.08,608936.13,211.06,NA,32.27,33.69,2.35,1,534.67
PSY109 25C 03 m-35.csv,26,PSY109 25C,Mito 25,Mito,Object,1764,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.25,4966.48,875.37,1544159.75,218.04,NA,35.69,29.77,2.78,1,534.67
PSY109 25C 03 m-35.csv,30,PSY109 25C,Mito 29,Mito,Object,620,0.738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.47,1287.29,781.09,484278.75,157.37,NA,33.72,30.78,3.26,1,534.67
