filename,ID,Item Name,Name,Population,Type,Voxel Count,Volume (µm³),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Number of contained Mito,Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Compartment ROIs ID,ExtracellularBackground
PSY109 25C 17 06 m-25.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,147525,175.66,223,2281,407.55,60124095,171.45,1e-6,25110.54,431.42,63645252,863.19,279.82,4358.33,597.96,88214728,127.43,2,NA,NA,NA,NA,536.19
PSY109 25C 17 06 m-25.csv,16,PSY109 25C 17,Mito 15,Mito,Object,843,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.33,1722.54,818.83,690273.25,134.41,NA,75.79,25.72,1.67,1,536.19
PSY109 25C 17 06 m-25.csv,33,PSY109 25C 17,Mito 32,Mito,Object,1012,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.26,1627.62,839.23,849305.19,212.53,NA,73.53,23.54,2.46,1,536.19
PSY109 25C 17 06 m-35.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,147525,175.66,223,2281,407.55,60124095,171.45,1e-6,25110.54,431.42,63645252,863.19,279.82,4358.33,597.96,88214728,127.43,2,NA,NA,NA,NA,536.19
PSY109 25C 17 06 m-35.csv,14,PSY109 25C 17,Mito 13,Mito,Object,990,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.33,1722.54,814.26,806112.5,135.95,NA,75.8,25.71,1.68,1,536.19
PSY109 25C 17 06 m-35.csv,30,PSY109 25C 17,Mito 29,Mito,Object,1134,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374.46,1627.62,837.96,950245.19,216.31,NA,73.54,23.54,2.45,1,536.19
PSY109 25C 17 06 m-50.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,147525,175.66,223,2281,407.55,60124095,171.45,1e-6,25110.54,431.42,63645252,863.19,279.82,4358.33,597.96,88214728,127.43,2,NA,NA,NA,NA,536.19
PSY109 25C 17 06 m-50.csv,12,PSY109 25C 17,Mito 11,Mito,Object,1297,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376.33,2166.13,811.63,1052684.38,155.01,NA,75.81,25.7,1.69,1,536.19
PSY109 25C 17 06 m-50.csv,21,PSY109 25C 17,Mito 20,Mito,Object,1378,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.38,1627.62,823.57,1134877.38,218.61,NA,73.54,23.54,2.46,1,536.19
PSY109 25C 17 07 m-25.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,165585,197.16,232,2431,442.09,73204210,168.38,1e-6,30746.99,466.5,77244864,876.91,291.34,7294.73,603.85,99988520,135.9,1,NA,NA,NA,NA,536.19
PSY109 25C 17 07 m-25.csv,20,PSY109 25C 17,Mito 19,Mito,Object,2704,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.54,2722.76,782.64,2116246.5,215.71,NA,80.41,15.38,2.75,1,536.19
PSY109 25C 17 07 m-35.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,165585,197.16,232,2431,442.09,73204210,168.38,1e-6,30746.99,466.5,77244864,876.91,291.34,7294.73,603.85,99988520,135.9,1,NA,NA,NA,NA,536.19
PSY109 25C 17 07 m-35.csv,44,PSY109 25C 17,Mito 43,Mito,Object,3126,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.54,2722.76,778.15,2432497.25,211.81,NA,80.4,15.41,2.72,1,536.19
PSY109 25C 17 07 m-50.csv,1,PSY109 25C 17,ROIs 1,ROIs,Object,165585,197.16,232,2431,442.09,73204210,168.38,1e-6,30746.99,466.5,77244864,876.91,291.34,7294.73,603.85,99988520,135.9,1,NA,NA,NA,NA,536.19
PSY109 25C 17 07 m-50.csv,39,PSY109 25C 17,Mito 38,Mito,Object,3940,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383.54,2722.76,768.78,3029000.5,206.57,NA,80.38,15.43,2.7,1,536.19
PSY109 25C 18 01 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,171717,204.46,214,1750,444.92,76399772,146.03,1e-6,19292.2,478.69,82199072,862.95,251.93,7219.77,613.9,105000000,157.41,7,NA,NA,NA,NA,535.63
PSY109 25C 18 01 m-25.csv,3,PSY109 25C 18,Mito 2,Mito,Object,113,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,1034.55,726.74,82122.16,73.69,NA,9.2,41.67,0.751,1,535.63
PSY109 25C 18 01 m-25.csv,6,PSY109 25C 18,Mito 5,Mito,Object,416,0.495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584.33,1242.05,840.11,349484.84,107.12,NA,10.24,42.06,1.71,1,535.63
PSY109 25C 18 01 m-25.csv,13,PSY109 25C 18,Mito 12,Mito,Object,162,0.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.93,1168.77,843.45,136639.05,126.26,NA,9.25,40.15,1.6,1,535.63
PSY109 25C 18 01 m-25.csv,20,PSY109 25C 18,Mito 19,Mito,Object,363,0.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.45,1093.07,790.77,287051.09,117.81,NA,10.75,41.03,2.35,1,535.63
PSY109 25C 18 01 m-25.csv,22,PSY109 25C 18,Mito 21,Mito,Object,650,0.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.71,1334.5,850.93,553103.13,155.24,NA,12,42.65,2.6,1,535.63
PSY109 25C 18 01 m-25.csv,26,PSY109 25C 18,Mito 25,Mito,Object,960,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.94,1463.6,781.44,750180.13,179.15,NA,13.7,41.64,2.7,1,535.63
PSY109 25C 18 01 m-25.csv,27,PSY109 25C 18,Mito 26,Mito,Object,860,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.74,1069.78,698.15,600407.56,112.94,NA,14.18,43.75,2.65,1,535.63
PSY109 25C 18 01 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,171717,204.46,214,1750,444.92,76399772,146.03,1e-6,19292.2,478.69,82199072,862.95,251.93,7219.77,613.9,105000000,157.41,7,NA,NA,NA,NA,535.63
PSY109 25C 18 01 m-35.csv,2,PSY109 25C 18,Mito 1,Mito,Object,135,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588,1034.55,720.01,97201.23,73.36,NA,9.2,41.68,0.709,1,535.63
PSY109 25C 18 01 m-35.csv,7,PSY109 25C 18,Mito 6,Mito,Object,477,0.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.78,1242.05,832.79,397242.72,110.14,NA,10.23,42.06,1.72,1,535.63
PSY109 25C 18 01 m-35.csv,11,PSY109 25C 18,Mito 10,Mito,Object,176,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.93,1168.77,837.02,147316.33,125.74,NA,9.25,40.15,1.6,1,535.63
PSY109 25C 18 01 m-35.csv,18,PSY109 25C 18,Mito 17,Mito,Object,410,0.488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.45,1093.07,787.81,323000.97,116.89,NA,10.76,41.02,2.35,1,535.63
PSY109 25C 18 01 m-35.csv,19,PSY109 25C 18,Mito 18,Mito,Object,736,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.71,1381.89,846.21,622813.06,158.79,NA,11.99,42.64,2.6,1,535.63
PSY109 25C 18 01 m-35.csv,24,PSY109 25C 18,Mito 23,Mito,Object,1075,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,406.58,1463.6,774.47,832551.19,180.43,NA,13.71,41.64,2.71,1,535.63
PSY109 25C 18 01 m-35.csv,25,PSY109 25C 18,Mito 24,Mito,Object,993,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.96,1069.78,693.97,689108.06,112.01,NA,14.18,43.75,2.68,1,535.63
PSY109 25C 18 01 m-50.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,171717,204.46,214,1750,444.92,76399772,146.03,1e-6,19292.2,478.69,82199072,862.95,251.93,7219.77,613.9,105000000,157.41,7,NA,NA,NA,NA,535.63
PSY109 25C 18 01 m-50.csv,2,PSY109 25C 18,Mito 1,Mito,Object,187,0.223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.14,1064.02,717.39,134152.7,86.16,NA,9.2,41.68,0.695,1,535.63
PSY109 25C 18 01 m-50.csv,6,PSY109 25C 18,Mito 5,Mito,Object,616,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574.78,1341.89,821.79,506222.13,114.95,NA,10.25,42.06,1.77,1,535.63
PSY109 25C 18 01 m-50.csv,11,PSY109 25C 18,Mito 10,Mito,Object,227,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.93,1168.77,828.77,188130.17,123.41,NA,9.25,40.16,1.62,1,535.63
PSY109 25C 18 01 m-50.csv,12,PSY109 25C 18,Mito 11,Mito,Object,1350,1.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.3,1463.6,761.46,1027964.69,182.28,NA,13.73,41.65,2.73,1,535.63
PSY109 25C 18 01 m-50.csv,19,PSY109 25C 18,Mito 18,Mito,Object,491,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.45,1156.18,784.57,385224.16,119.6,NA,10.77,41.02,2.33,1,535.63
PSY109 25C 18 01 m-50.csv,23,PSY109 25C 18,Mito 22,Mito,Object,895,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.71,1381.89,834.49,746867.75,158.03,NA,12,42.65,2.6,1,535.63
PSY109 25C 18 01 m-50.csv,25,PSY109 25C 18,Mito 24,Mito,Object,1314,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.96,1114.51,687.85,903830.25,116.41,NA,14.2,43.73,2.75,1,535.63
PSY109 25C 18 02 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,182532,217.34,225,2455,400.34,73074325,142.78,1e-6,26122.66,417.8,76262232,767.23,254.82,10953.03,611.86,112000000,176.01,6,NA,NA,NA,NA,535.63
PSY109 25C 18 02 m-25.csv,7,PSY109 25C 18,Mito 6,Mito,Object,626,0.745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547.74,1040.52,700.42,438463.31,79.96,NA,71.64,47.34,0.929,1,535.63
PSY109 25C 18 02 m-25.csv,8,PSY109 25C 18,Mito 7,Mito,Object,188,0.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.17,1042.71,812.83,152811.25,79.9,NA,75.99,49.9,1.52,1,535.63
PSY109 25C 18 02 m-25.csv,16,PSY109 25C 18,Mito 15,Mito,Object,415,0.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.73,2849.51,803.97,333647.97,248.34,NA,73.95,47.91,1.79,1,535.63
PSY109 25C 18 02 m-25.csv,17,PSY109 25C 18,Mito 16,Mito,Object,350,0.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.34,1097.8,807,282451.69,99.24,NA,71.71,49.64,2.03,1,535.63
PSY109 25C 18 02 m-25.csv,18,PSY109 25C 18,Mito 17,Mito,Object,450,0.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.83,1250.22,772.41,347582.56,113.78,NA,74.54,50.03,1.94,1,535.63
PSY109 25C 18 02 m-25.csv,31,PSY109 25C 18,Mito 30,Mito,Object,464,0.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.37,1336.34,730.91,339140.22,178.53,NA,72.74,47.35,3.87,1,535.63
PSY109 25C 18 02 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,182532,217.34,225,2455,400.34,73074325,142.78,1e-6,26122.66,417.8,76262232,767.23,254.82,10953.03,611.86,112000000,176.01,6,NA,NA,NA,NA,535.63
PSY109 25C 18 02 m-35.csv,8,PSY109 25C 18,Mito 7,Mito,Object,722,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538.21,1040.52,700.69,505901.06,81.18,NA,71.66,47.35,0.922,1,535.63
PSY109 25C 18 02 m-35.csv,9,PSY109 25C 18,Mito 8,Mito,Object,228,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.17,1042.71,810.26,184739.06,81.8,NA,75.98,49.89,1.51,1,535.63
PSY109 25C 18 02 m-35.csv,15,PSY109 25C 18,Mito 14,Mito,Object,488,0.581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.73,3117.35,807.98,394295.69,263.29,NA,73.95,47.9,1.82,1,535.63
PSY109 25C 18 02 m-35.csv,16,PSY109 25C 18,Mito 15,Mito,Object,403,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.34,1097.8,804.86,324357.63,101.18,NA,71.72,49.64,2.02,1,535.63
PSY109 25C 18 02 m-35.csv,17,PSY109 25C 18,Mito 16,Mito,Object,516,0.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.01,1250.22,768.22,396399.06,118.53,NA,74.54,50.02,1.93,1,535.63
PSY109 25C 18 02 m-35.csv,30,PSY109 25C 18,Mito 29,Mito,Object,501,0.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.37,1336.34,727.1,364276.72,176.67,NA,72.74,47.35,3.87,1,535.63
PSY109 25C 18 02 m-50.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,182532,217.34,225,2455,400.34,73074325,142.78,1e-6,26122.66,417.8,76262232,767.23,254.82,10953.03,611.86,112000000,176.01,6,NA,NA,NA,NA,535.63
PSY109 25C 18 02 m-50.csv,7,PSY109 25C 18,Mito 6,Mito,Object,923,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,525.73,1096.37,700.3,646378.31,86.32,NA,71.65,47.35,0.927,1,535.63
PSY109 25C 18 02 m-50.csv,8,PSY109 25C 18,Mito 7,Mito,Object,285,0.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628.17,1042.71,808.55,230437.22,80.76,NA,75.98,49.89,1.51,1,535.63
PSY109 25C 18 02 m-50.csv,13,PSY109 25C 18,Mito 12,Mito,Object,627,0.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.73,3117.35,809.87,507787.88,279.56,NA,73.95,47.88,1.84,1,535.63
PSY109 25C 18 02 m-50.csv,17,PSY109 25C 18,Mito 16,Mito,Object,518,0.617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.04,1118.77,803.1,416005.38,101.71,NA,71.74,49.65,2.02,1,535.63
PSY109 25C 18 02 m-50.csv,18,PSY109 25C 18,Mito 17,Mito,Object,662,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.01,1250.22,765.2,506562.28,123.11,NA,74.54,50.01,1.93,1,535.63
PSY109 25C 18 02 m-50.csv,28,PSY109 25C 18,Mito 27,Mito,Object,616,0.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.37,1336.34,719.14,442988.06,172.21,NA,72.72,47.35,3.9,1,535.63
PSY109 25C 18 03 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,167916,199.94,231,2156,426.05,71539976,149.96,1e-6,34438.52,448.69,75342784,816.04,261.74,11540.99,606.81,102000000,201.57,4,NA,NA,NA,NA,535.63
PSY109 25C 18 03 m-25.csv,10,PSY109 25C 18,Mito 9,Mito,Object,680,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.2,974.54,724.18,492441.88,74.08,NA,55.17,21.44,1.06,1,535.63
PSY109 25C 18 03 m-25.csv,11,PSY109 25C 18,Mito 10,Mito,Object,111,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,613.73,970.71,769.04,85363.05,74.43,NA,54.44,21.66,1.48,1,535.63
PSY109 25C 18 03 m-25.csv,12,PSY109 25C 18,Mito 11,Mito,Object,907,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,1238.33,735.98,667534.13,132.7,NA,58.82,23.9,1.48,1,535.63
PSY109 25C 18 03 m-25.csv,28,PSY109 25C 18,Mito 27,Mito,Object,1064,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.73,1509.43,772.75,822208.69,169.26,NA,58.65,22.05,2.84,1,535.63
PSY109 25C 18 03 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,167916,199.94,231,2156,426.05,71539976,149.96,1e-6,34438.52,448.69,75342784,816.04,261.74,11540.99,606.81,102000000,201.57,3,NA,NA,NA,NA,535.63
PSY109 25C 18 03 m-35.csv,5,PSY109 25C 18,Mito 4,Mito,Object,980,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529.2,974.54,725.48,710971.94,75.72,NA,55.08,21.47,1.11,1,535.63
PSY109 25C 18 03 m-35.csv,10,PSY109 25C 18,Mito 9,Mito,Object,1048,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.57,1238.33,732.04,767180.31,130.06,NA,58.78,23.87,1.46,1,535.63
PSY109 25C 18 03 m-35.csv,26,PSY109 25C 18,Mito 25,Mito,Object,1184,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.73,1509.43,766.17,907144.81,168.85,NA,58.64,22.05,2.85,1,535.63
PSY109 25C 18 03 m-50.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,167916,199.94,231,2156,426.05,71539976,149.96,1e-6,34438.52,448.69,75342784,816.04,261.74,11540.99,606.81,102000000,201.57,3,NA,NA,NA,NA,535.63
PSY109 25C 18 03 m-50.csv,9,PSY109 25C 18,Mito 8,Mito,Object,1437,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.54,974.54,716.44,1029528.31,78.79,NA,55.11,21.49,1.08,1,535.63
PSY109 25C 18 03 m-50.csv,10,PSY109 25C 18,Mito 9,Mito,Object,1401,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388.56,1303.98,723.84,1014096,127.63,NA,58.73,23.82,1.43,1,535.63
PSY109 25C 18 03 m-50.csv,15,PSY109 25C 18,Mito 14,Mito,Object,1439,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382.73,2164.96,753.96,1084952.5,172.96,NA,58.64,22.06,2.88,1,535.63
PSY109 25C 18 04 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,224973,267.88,223,1665,405.62,91253889,123.61,1e-6,23576.85,412.74,92855584,701.96,251.73,3770.96,609.03,137000000,131.52,3,NA,NA,NA,NA,535.63
PSY109 25C 18 04 m-25.csv,9,PSY109 25C 18,Mito 8,Mito,Object,1609,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.99,1078.04,788.25,1268298.13,94.19,NA,55.88,6.88,1.47,1,535.63
PSY109 25C 18 04 m-25.csv,21,PSY109 25C 18,Mito 20,Mito,Object,334,0.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.16,1311.26,816.74,272790.41,162.19,NA,53.36,6.64,2.85,1,535.63
PSY109 25C 18 04 m-25.csv,24,PSY109 25C 18,Mito 23,Mito,Object,1141,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.52,1139.48,739.22,843452.06,135.25,NA,51.61,9.8,3.36,1,535.63
PSY109 25C 18 04 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,224973,267.88,223,1665,405.62,91253889,123.61,1e-6,23576.85,412.74,92855584,701.96,251.73,3770.96,609.03,137000000,131.52,3,NA,NA,NA,NA,535.63
PSY109 25C 18 04 m-35.csv,13,PSY109 25C 18,Mito 12,Mito,Object,1904,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.99,1078.04,784.9,1494450.75,94.09,NA,55.86,6.85,1.47,1,535.63
PSY109 25C 18 04 m-35.csv,21,PSY109 25C 18,Mito 20,Mito,Object,372,0.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434.16,1311.26,811.35,301822.56,166.37,NA,53.36,6.64,2.86,1,535.63
PSY109 25C 18 04 m-35.csv,22,PSY109 25C 18,Mito 21,Mito,Object,1276,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448.78,1139.48,734.96,937812.31,136.1,NA,51.61,9.8,3.37,1,535.63
PSY109 25C 18 04 m-50.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,224973,267.88,223,1665,405.62,91253889,123.61,1e-6,23576.85,412.74,92855584,701.96,251.73,3770.96,609.03,137000000,131.52,3,NA,NA,NA,NA,535.63
PSY109 25C 18 04 m-50.csv,14,PSY109 25C 18,Mito 13,Mito,Object,2479,2.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505.99,1078.04,777.49,1927391.13,93.98,NA,55.86,6.85,1.48,1,535.63
PSY109 25C 18 04 m-50.csv,21,PSY109 25C 18,Mito 20,Mito,Object,452,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336.08,1311.26,793.05,358460.78,177.23,NA,53.36,6.65,2.91,1,535.63
PSY109 25C 18 04 m-50.csv,22,PSY109 25C 18,Mito 21,Mito,Object,1512,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384.3,1139.48,731.31,1105736.75,137.19,NA,51.61,9.8,3.38,1,535.63
PSY109 25C 18 05 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,144081,171.56,249,1783,452.96,65262738,151.42,0.552,14704.59,466.46,67208264,757.99,232.84,1689.12,589.21,84894000,110.82,3,NA,NA,NA,NA,535.63
PSY109 25C 18 05 m-25.csv,4,PSY109 25C 18,Mito 3,Mito,Object,61,0.0726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.46,806.42,697.22,42530.71,50.36,NA,49.81,7.54,1.18,1,535.63
PSY109 25C 18 05 m-25.csv,14,PSY109 25C 18,Mito 13,Mito,Object,132,0.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.5,818.1,688.71,90909.44,59.26,NA,50.36,7.22,1.67,1,535.63
PSY109 25C 18 05 m-25.csv,19,PSY109 25C 18,Mito 18,Mito,Object,2696,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.49,1151.57,684.63,1845763.63,123.9,NA,51.14,4.51,2.91,1,535.63
PSY109 25C 18 05 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,144081,171.56,249,1783,452.96,65262738,151.42,0.552,14704.59,466.46,67208264,757.99,232.84,1689.12,589.21,84894000,110.82,3,NA,NA,NA,NA,535.63
PSY109 25C 18 05 m-35.csv,4,PSY109 25C 18,Mito 3,Mito,Object,69,0.0822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.46,806.42,698.37,48187.72,50.57,NA,49.81,7.54,1.19,1,535.63
PSY109 25C 18 05 m-35.csv,12,PSY109 25C 18,Mito 11,Mito,Object,155,0.185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561.5,860.06,687.8,106608.23,60.49,NA,50.37,7.21,1.67,1,535.63
PSY109 25C 18 05 m-35.csv,28,PSY109 25C 18,Mito 27,Mito,Object,3133,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,368.49,1151.57,682.49,2138229.75,124.37,NA,51.15,4.5,2.87,1,535.63
PSY109 25C 18 05 m-50.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,144081,171.56,249,1783,452.96,65262738,151.42,0.552,14704.59,466.46,67208264,757.99,232.84,1689.12,589.21,84894000,110.82,2,NA,NA,NA,NA,535.63
PSY109 25C 18 05 m-50.csv,4,PSY109 25C 18,Mito 3,Mito,Object,327,0.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.31,874.63,688.45,225123.94,61.29,NA,50.18,7.33,1.52,1,535.63
PSY109 25C 18 05 m-50.csv,29,PSY109 25C 18,Mito 28,Mito,Object,4002,4.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.48,1151.57,676.9,2708938.5,123.48,NA,51.15,4.49,2.87,1,535.63
PSY109 25C 18 06 m-25.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,169386,201.69,223,1931,393.56,66663425,120.51,1e-6,23262.31,418.4,70870432,766.84,262.23,2640.66,583.61,98854664,106.08,6,NA,NA,NA,NA,535.63
PSY109 25C 18 06 m-25.csv,2,PSY109 25C 18,Mito 1,Mito,Object,113,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562.7,1034.22,732.14,82731.87,110.18,NA,29.07,28.67,1.01,1,535.63
PSY109 25C 18 06 m-25.csv,5,PSY109 25C 18,Mito 4,Mito,Object,263,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.59,945.63,744.32,195755.5,75.64,NA,27.51,28.17,0.989,1,535.63
PSY109 25C 18 06 m-25.csv,15,PSY109 25C 18,Mito 14,Mito,Object,97,0.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.85,904.01,709,68773.09,87.31,NA,26.57,29.54,1.86,1,535.63
PSY109 25C 18 06 m-25.csv,25,PSY109 25C 18,Mito 24,Mito,Object,1079,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.81,1125.42,723.68,780847.25,132.89,NA,24,29.89,3,1,535.63
PSY109 25C 18 06 m-25.csv,29,PSY109 25C 18,Mito 28,Mito,Object,259,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405.86,1236.66,640.2,165811.97,133.6,NA,26.54,28.51,3.56,1,535.63
PSY109 25C 18 06 m-25.csv,30,PSY109 25C 18,Mito 29,Mito,Object,761,0.906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.78,1196.39,695.17,529023.13,143.07,NA,28.32,29.79,2.88,1,535.63
PSY109 25C 18 06 m-35.csv,1,PSY109 25C 18,ROIs 1,ROIs,Object,169386,201.69,223,1931,393.56,66663425,120.51,1e-6,23262.31,418.4,70870432,766.84,262.23,2640.66,583.61,98854664,106.08,6,NA,NA,NA,NA,535.63
PSY109 25C 18 06 m-35.csv,3,PSY109 25C 18,Mito 2,Mito,Object,139,0.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562.7,1034.22,729.71,101429.52,109.83,NA,29.07,28.67,1.05,1,535.63
PSY109 25C 18 06 m-35.csv,6,PSY109 25C 18,Mito 5,Mito,Object,348,0.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.59,945.63,740.83,257807.75,76.12,NA,27.51,28.18,1,1,535.63
PSY109 25C 18 06 m-35.csv,14,PSY109 25C 18,Mito 13,Mito,Object,124,0.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.85,947.51,714.72,88624.95,90.31,NA,26.55,29.53,1.83,1,535.63
PSY109 25C 18 06 m-35.csv,23,PSY109 25C 18,Mito 22,Mito,Object,1222,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,372.81,1125.42,718.74,878305.38,133.48,NA,24.01,29.89,2.99,1,535.63
