filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))","Min (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double) (DCI: 60 its, mCherry double))"
GTY029 II 25C 01 m-25.csv,ROIs 1,1,207.79,447,1043,664.88,116000000,64.68,211,1123,347.85,60703574,82.61,291.73,3128.07,674.95,118000000,153.98,1e-6,10140.61,364.09,63536728,405.16,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 4,5,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,579.77,693.35,630.5,8196.49,37.8,NA,NA,NA,NA,NA,13.79,61.37,0.0692,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 7,8,0.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.39,1114.62,837.25,378438.16,81.67,NA,NA,NA,NA,NA,13,60.04,0.773,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 26,27,0.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.81,1466.03,921.29,724133,175.09,NA,NA,NA,NA,NA,9.09,57.36,2.09,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 30,31,0.697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,457.97,1837.98,895.72,523997.59,209.98,NA,NA,NA,NA,NA,8.25,59.08,3.39,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-25.csv,Mito 37,38,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.73,1815.57,957.24,859598,171.65,NA,NA,NA,NA,NA,10.62,59,1.87,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,ROIs 1,1,207.79,447,1043,664.88,116000000,64.68,211,1123,347.85,60703574,82.61,291.73,3128.07,674.95,118000000,153.98,1e-6,10140.61,364.09,63536728,405.16,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 5,6,0.0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.44,757.55,634.85,22219.8,42.74,NA,NA,NA,NA,NA,13.79,61.36,0.137,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 8,9,0.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,603.39,1114.62,833.88,476979.75,84.09,NA,NA,NA,NA,NA,13,60.04,0.786,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 24,25,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,478.81,1479.15,909.39,834820.5,177.81,NA,NA,NA,NA,NA,9.09,57.36,2.11,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 28,29,0.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.75,1837.98,888.35,618291.81,213.22,NA,NA,NA,NA,NA,8.25,59.09,3.39,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-35.csv,Mito 34,35,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,599.73,1815.57,949.02,1007860.19,172.73,NA,NA,NA,NA,NA,10.62,59.01,1.86,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,ROIs 1,1,207.79,447,1043,664.88,116000000,64.68,211,1123,347.85,60703574,82.61,291.73,3128.07,674.95,118000000,153.98,1e-6,10140.61,364.09,63536728,405.16,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,Mito 3,4,0.0703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560.82,757.55,634.22,37418.94,43.65,NA,NA,NA,NA,NA,13.8,61.38,0.147,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,Mito 6,7,0.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590.94,1197.73,827.99,690541,92.87,NA,NA,NA,NA,NA,13,60.04,0.843,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,Mito 16,17,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.53,686.82,617.92,8650.91,44.13,NA,NA,NA,NA,NA,7.93,56.94,1.97,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,Mito 21,22,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.75,1963.59,885.61,1933288.88,199.41,NA,NA,NA,NA,NA,8.75,58.11,2.66,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 01 m-50.csv,Mito 30,31,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,577.73,1815.57,929.6,1332123,179.91,NA,NA,NA,NA,NA,10.59,59.04,1.8,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,ROIs 1,1,203.04,464,2069,729.09,124000000,94.67,225,1139,363.72,62021074,81.94,212.16,28886.56,747.15,127000000,283.35,8.35,10937.45,385.82,65790568,418.67,NA,NA,NA,GTY029 II 25C,ROIs,Object,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 13,14,0.0131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220.59,1417.03,1344.65,14791.1,52.24,NA,NA,NA,NA,NA,75.82,55.29,1.61,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 14,15,0.0595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009.02,1533.02,1242.1,62104.9,123.36,NA,NA,NA,NA,NA,74.96,55.8,1.8,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 15,16,0.0607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,684.92,1369.14,1072.96,54720.74,147.59,NA,NA,NA,NA,NA,77.86,57.94,1.72,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 21,22,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.79,2454.88,1205.39,1072794.75,262.39,NA,NA,NA,NA,NA,79.6,57.61,3.43,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 25,26,0.461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578.16,6007.3,1627.79,629954.56,1021.14,NA,NA,NA,NA,NA,77.24,55.52,2.69,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 33,34,0.0179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.68,1195.5,1026.64,15399.61,89.15,NA,NA,NA,NA,NA,78.83,57.16,3.42,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-25.csv,Mito 34,35,2.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.16,1896.19,1055.67,2100781.25,263.03,NA,NA,NA,NA,NA,75.78,57.98,2.78,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-35.csv,ROIs 1,1,203.04,464,2069,729.09,124000000,94.67,225,1139,363.72,62021074,81.94,212.16,28886.56,747.15,127000000,283.35,8.35,10937.45,385.82,65790568,418.67,NA,NA,NA,GTY029 II 25C,ROIs,Object,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-35.csv,Mito 12,13,0.0321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1136.64,1417.03,1284.01,34668.38,83.15,NA,NA,NA,NA,NA,75.83,55.29,1.56,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-35.csv,Mito 15,16,0.566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535.99,6007.3,1550.36,736419.38,963.52,NA,NA,NA,NA,NA,77.26,55.54,2.71,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-35.csv,Mito 31,32,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.79,2454.88,1190.46,1360695.63,261.1,NA,NA,NA,NA,NA,79.56,57.61,3.42,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-35.csv,Mito 32,33,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.16,1896.19,1056.89,2751086.75,260.81,NA,NA,NA,NA,NA,75.78,57.9,2.66,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-50.csv,ROIs 1,1,203.04,464,2069,729.09,124000000,94.67,225,1139,363.72,62021074,81.94,212.16,28886.56,747.15,127000000,283.35,8.35,10937.45,385.82,65790568,418.67,NA,NA,NA,GTY029 II 25C,ROIs,Object,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-50.csv,Mito 2,3,0.0119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,639.7,725.97,679.82,6798.2,28.04,NA,NA,NA,NA,NA,75.14,58.02,0.24,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-50.csv,Mito 13,14,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497.13,6007.3,1456.28,891245.44,894.75,NA,NA,NA,NA,NA,77.27,55.57,2.73,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-50.csv,Mito 26,27,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558.53,2454.88,1176.66,1874414,264.18,NA,NA,NA,NA,NA,79.52,57.62,3.39,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 02 m-50.csv,Mito 27,28,4.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363.45,1940.61,1039.18,3987350.5,265.75,NA,NA,NA,NA,NA,75.76,57.88,2.53,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,ROIs 1,1,351.89,464,1038,710.12,210000000,89.74,222,1683,394.92,117000000,120.74,169.32,2299.91,712.3,211000000,196.76,1e-6,17552.19,412.66,122000000,645.5,NA,NA,NA,GTY029 II 25C,ROIs,Object,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 8,9,0.0333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,722.75,928.1,815.72,22840.16,58.16,NA,NA,NA,NA,NA,72.68,2.32,0.771,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 17,18,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,498.01,1680.22,919.23,591982.63,230.62,NA,NA,NA,NA,NA,71.14,7.13,3.15,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 20,21,0.664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515.39,1319.78,876.29,488968.37,159.82,NA,NA,NA,NA,NA,78.62,5.55,2.95,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 22,23,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455.58,1784.92,991.3,1604908.63,208.88,NA,NA,NA,NA,NA,73.22,3.36,2.77,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 27,28,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.48,1774.63,992.89,2143658.5,196.77,NA,NA,NA,NA,NA,73.18,7.26,2.26,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 31,32,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.32,923.88,637.58,80973.25,111.24,NA,NA,NA,NA,NA,75.57,6.88,3.87,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-25.csv,Mito 35,36,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,427.95,1717.25,953.38,1912477.75,244.14,NA,NA,NA,NA,NA,77.23,7.43,3.1,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,ROIs 1,1,351.89,464,1038,710.12,210000000,89.74,222,1683,394.92,117000000,120.74,169.32,2299.91,712.3,211000000,196.76,1e-6,17552.19,412.66,122000000,645.5,NA,NA,NA,GTY029 II 25C,ROIs,Object,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 7,8,0.0607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,636.99,981.07,789.86,40282.88,82.72,NA,NA,NA,NA,NA,72.69,2.36,0.682,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 16,17,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,481.22,1680.22,911.85,670212.63,236.54,NA,NA,NA,NA,NA,71.13,7.13,3.17,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 20,21,0.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,493.12,1319.78,866.72,546899.88,162.2,NA,NA,NA,NA,NA,78.61,5.56,2.98,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 21,22,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,441.67,1872.81,983.38,1924474.25,211.03,NA,NA,NA,NA,NA,73.25,3.35,2.77,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 26,27,2.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.91,1774.63,984.56,2452543.25,200.52,NA,NA,NA,NA,NA,73.16,7.26,2.25,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 29,30,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.32,1008.53,644.71,98640.54,118.88,NA,NA,NA,NA,NA,75.56,6.88,3.88,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-35.csv,Mito 30,31,2.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,395.03,1717.25,942.13,2119782.75,247.18,NA,NA,NA,NA,NA,77.22,7.43,3.11,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,ROIs 1,1,351.89,464,1038,710.12,210000000,89.74,222,1683,394.92,117000000,120.74,169.32,2299.91,712.3,211000000,196.76,1e-6,17552.19,412.66,122000000,645.5,NA,NA,NA,GTY029 II 25C,ROIs,Object,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 10,11,0.0131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.71,1028.89,737.61,8113.69,141.66,NA,NA,NA,NA,NA,74.39,7.54,1.5,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 14,15,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,466.35,1680.22,897.23,878389.56,238.12,NA,NA,NA,NA,NA,71.1,7.14,3.15,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 19,20,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.56,1319.78,856.29,685891.5,165.13,NA,NA,NA,NA,NA,78.6,5.56,2.97,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 23,24,3.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403.59,1774.63,974.34,3121782.25,205.75,NA,NA,NA,NA,NA,73.11,7.27,2.26,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 24,25,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391.81,1974.74,914.74,2618902.75,252.37,NA,NA,NA,NA,NA,77.2,7.42,3.17,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 28,29,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.32,1031.75,655.23,126459.27,127.22,NA,NA,NA,NA,NA,75.56,6.88,3.87,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 03 m-50.csv,Mito 34,35,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.83,1872.81,958.59,2676389.75,212.05,NA,NA,NA,NA,NA,73.23,3.3,2.64,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-25.csv,ROIs 1,1,197.64,453,946,664.37,110000000,70.76,208,1314,323.08,53625821,79.8,250.77,2966.35,671.03,111000000,170.28,36.36,10293.06,334.56,55531252,347.58,NA,NA,NA,GTY029 II 25C,ROIs,Object,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-25.csv,Mito 10,11,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780.27,1421.91,1068.2,98274.45,166.22,NA,NA,NA,NA,NA,65.46,18.71,1.8,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-25.csv,Mito 11,12,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420.48,2641.74,1049.06,2023642.37,320.85,NA,NA,NA,NA,NA,63.46,19.95,3.02,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-25.csv,Mito 36,37,0.0845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.9,1222.32,875.35,62149.92,172.56,NA,NA,NA,NA,NA,64.28,18.78,3.87,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-35.csv,ROIs 1,1,197.64,453,946,664.37,110000000,70.76,208,1314,323.08,53625821,79.8,250.77,2966.35,671.03,111000000,170.28,36.36,10293.06,334.56,55531252,347.58,NA,NA,NA,GTY029 II 25C,ROIs,Object,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-35.csv,Mito 9,10,2.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.83,2641.74,1031.88,2354738.75,317.42,NA,NA,NA,NA,NA,63.47,19.95,3.04,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-35.csv,Mito 13,14,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,780.27,1529.73,1062.59,120072.65,173.07,NA,NA,NA,NA,NA,65.46,18.71,1.79,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-35.csv,Mito 33,34,0.0964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.9,1222.32,869.68,70444.44,173.51,NA,NA,NA,NA,NA,64.27,18.78,3.88,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-50.csv,ROIs 1,1,197.64,453,946,664.37,110000000,70.76,208,1314,323.08,53625821,79.8,250.77,2966.35,671.03,111000000,170.28,36.36,10293.06,334.56,55531252,347.58,NA,NA,NA,GTY029 II 25C,ROIs,Object,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-50.csv,Mito 4,5,0.0393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800.81,1047.24,929.43,30671.24,65.27,NA,NA,NA,NA,NA,65.37,20.71,0.6,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-50.csv,Mito 5,6,0.0298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,723.14,833.18,774.65,19366.28,28,NA,NA,NA,NA,NA,64.9,20.98,0.456,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GTY029 II 25C 04 m-50.csv,Mito 7,8,3.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,378.83,2966.35,1009.18,3031571.5,312.65,NA,NA,NA,NA,NA,63.49,19.95,3.03,GTY029 II 25C,Mito,Object,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
