filename,ItemName,CellMin,CellMean,CellSD,ExtracellularBackground,RawMitoMean,MitoVolume_um3,RawMitoSD,MitoMeanCorr,CellMeanCorr,MitoLoc,MitoThresh,Temp
GTY030 II 25C 10 05 m-25.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,783.3845292697647,3.314,237.89853651176827,269.8545292697647,100.5,2.6851196942265148,-25,25
GTY030 II 25C 10 05 m-35.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,784.2626462324394,3.915,239.5020459770115,270.7326462324394,100.5,2.693857176442183,-35,25
GTY030 II 25C 10 05 m-50.csv,GTY030 II 25C 10,82.84,614.03,362.44,513.53,785.0461688695996,5.069,241.745537581377,271.5161688695996,100.5,2.701653421588056,-50,25
GTY030 II 25C 11 01 m-25.csv,GTY030 II 25C 11,311.19,569.09,106.22,520.41,798.3956761412576,2.322,156.25632213608958,277.9856761412576,48.680000000000064,5.71046992894941,-25,25
GTY030 II 25C 11 01 m-35.csv,GTY030 II 25C 11,311.19,569.09,106.22,520.41,792.3473966942148,2.662,156.0301690458302,271.93739669421484,48.680000000000064,5.586224254195039,-35,25
GTY030 II 25C 11 01 m-50.csv,GTY030 II 25C 11,311.19,569.09,106.22,520.41,781.4625531914894,3.29,160.14316109422495,261.05255319148944,48.680000000000064,5.36262434657948,-50,25
GTY030 II 25C 11 02 m-25.csv,GTY030 II 25C 11,293,568.26,90.64,520.41,755.9684005712245,2.801,125.94506604784006,235.55840057122452,47.85000000000002,4.922850586650458,-25,25
GTY030 II 25C 11 02 m-35.csv,GTY030 II 25C 11,293,568.26,90.64,520.41,752.5513622291021,3.23,125.5599690402477,232.14136222910213,47.85000000000002,4.851439127044975,-35,25
GTY030 II 25C 11 02 m-50.csv,GTY030 II 25C 11,293,568.26,90.64,520.41,744.2581508515814,4.11,127.94586374695865,223.8481508515814,47.85000000000002,4.678122274850184,-50,25
GTY030 II 25C 11 03 m-25.csv,GTY030 II 25C 11,267.92,580.12,189.63,520.41,717.364300973924,3.1830000000000003,197.70547282437948,196.95430097392398,59.710000000000036,3.2985145029965475,-25,25
GTY030 II 25C 11 03 m-35.csv,GTY030 II 25C 11,267.92,580.12,189.63,520.41,716.9092493224932,3.69,207.9807506775068,196.49924932249326,59.710000000000036,3.290893473831739,-35,25
GTY030 II 25C 11 03 m-50.csv,GTY030 II 25C 11,267.92,580.12,189.63,520.41,713.525090342679,4.815,224.12108826583594,193.11509034267908,59.710000000000036,3.2342168873334276,-50,25
GTY030 II 25C 11 04 m-25.csv,GTY030 II 25C 11,309.02,571.18,85.25,520.41,772.4669389312977,3.93,177.75796183206106,252.05693893129774,50.76999999999998,4.964682665576085,-25,25
GTY030 II 25C 11 04 m-35.csv,GTY030 II 25C 11,309.02,571.18,85.25,520.41,763.0831697341514,4.401,178.49973642354013,242.67316973415143,50.76999999999998,4.779853648496189,-35,25
GTY030 II 25C 11 04 m-50.csv,GTY030 II 25C 11,309.02,571.18,85.25,520.41,743.8779918714206,5.413,180.5375706632182,223.46799187142062,50.76999999999998,4.40157557359505,-50,25
GTY030 II 25C 11 05 m-25.csv,GTY030 II 25C 11,278.58,565.86,147.07,520.41,698.3626705936354,2.6144,98.83554161566708,177.9526705936354,45.450000000000045,3.9153502880887836,-25,25
GTY030 II 25C 11 05 m-35.csv,GTY030 II 25C 11,278.58,565.86,147.07,520.41,695.2647916003818,3.143,103.91675787464206,174.85479160038187,45.450000000000045,3.8471901342218193,-35,25
GTY030 II 25C 11 05 m-50.csv,GTY030 II 25C 11,278.58,565.86,147.07,520.41,688.1191818181818,4.4,108.3300909090909,167.70918181818183,45.450000000000045,3.6899709970997066,-50,25
GTY030 II 25C 12 01 m-25.csv,GTY030 II 25C 12,244.92,591.7,183.62,522.64,866.6937894669767,3.1387,223.40900054162552,344.0537894669767,69.06000000000006,4.981954669374115,-25,25
